chapter_id,method,output,page_number
17,"Run the following command and verify output shows /home is mounted: 
# mount | grep /home 
/dev/xvdf1 on /home type ext4 (rw,nodev,relatime,data=ordered)",,42
18,"If a /home partition exists run the following command and verify that the nodev option is set 
on /home. 
# mount | grep /home 
/dev/xvdf1 on /home type ext4 (rw,nodev,relatime,data=ordered)",,43
19,"Run the following command and verify that the nodev option is set on /run/shm. 
# mount | grep /run/shm 
tmpfs on /run/shm type tmpfs (rw,nosuid,nodev,noexec,relatime)",,44
20,"Run the following command and verify that the nosuid option is set on /run/shm. 
# mount | grep /run/shm 
tmpfs on /run/shm type tmpfs (rw,nosuid,nodev,noexec,relatime)",,45
21,"Run the following command and verify that the noexec option is set on /run/shm. 
# mount | grep /run/shm 
tmpfs on /run/shm type tmpfs (rw,nosuid,nodev,noexec,relatime)",,46
21,"Run the following command and verify that the nodev option is set on all removable media 
partitions. 
# mount",,47
21,"Run the following command and verify that the nosuid option is set on all removable media 
partitions. 
# mount",,48
21,"Run the following command and verify that the noexec option is set on all removable media 
partitions. 
# mount",,49
25,"Run the following command to verify no world writable directories exist without the sticky 
bit set: 
# df --local -P | awk {'if (NR!=1) print $6'} | xargs -I '{}' find '{}' -xdev 
-type d \( -perm -0002 -a ! -perm -1000 \) 2>/dev/null 
 
No output should be returned.",,50
26,"Run the following commands to verify no start conditions listed for autofs: 
# initctl show-config autofs 
autofs",,51
28,"Run the following command and verify package repositories are configured correctly: 
# apt-cache policy",,53
29,"Run the following command and verify GPG keys are configured correctly for your package 
manager: 
# apt-key list",,55
31,"Run the following command and verify AIDE is installed: 
# dpkg -s aide",,56
32,"Run the following commands to determine if there is a cronjob scheduled to run the aide 
check. 
# crontab -u root -l | grep aide 
# grep -r aide /etc/cron.* /etc/crontab 
 
Ensure a cron job in compliance with site policy is returned.",,58
34,"Run the following command and verify Uid and Gid are both 0/root and Access does not 
grant permissions to group or other: 
# stat /boot/grub/grub.cfg 
Access: (0400/-rw-------)  Uid: (    0/    root)   Gid: (    0/    root)",,60
35,"Run the following commands and verify output matches: 
# grep ""^set superusers"" /boot/grub/grub.cfg 
set superusers=""<username>"" 
# grep ""^password"" /boot/grub/grub.cfg 
password_pbkdf2 <username> <encrypted-password>",,62
36,"Perform the following to determine if a password is set for the rootuser: 
# grep ^root:[*\!]: /etc/shadow 
 
No results should be returned.",,64
38,"Run the following commands and verify output matches: 
# grep ""hard core"" /etc/security/limits.conf /etc/security/limits.d/* 
* hard core 0 
# sysctl fs.suid_dumpable 
fs.suid_dumpable = 0 
# grep ""fs\.suid_dumpable"" /etc/sysctl.conf /etc/sysctl.d/* 
fs.suid_dumpable = 0",,65
39,"Run the following command and verify your kernel has identified and activated NX/XD 
protection. 
# dmesg | grep NX 
NX (Execute Disable) protection: active",,67
39,"Run the following command and verify output matches: 
# sysctl kernel.randomize_va_space 
kernel.randomize_va_space = 2 
# grep ""kernel\.randomize_va_space"" /etc/sysctl.conf /etc/sysctl.d/* 
kernel.randomize_va_space = 2",,69
41,"Run the following command and verify prelink is not installed: 
# dpkg -s prelink",,71
42,"Run the following command and verify that no linux line has the selinux=0 or enforcing=0 
parameters set: 
# grep ""^\s*linux"" /boot/grub/grub.cfg",,74
44,"Run the following commands and ensure output matches: 
# grep SELINUX=enforcing /etc/selinux/config 
SELINUX=enforcing 
 
# sestatus 
SELinux status: enabled 
Current mode: enforcing 
Mode from config file: enforcing",,76
45,"Run the following commands and ensure output matches ""ubuntu"", ""default"" or ""mls"": 
# grep SELINUXTYPE= /etc/selinux/config 
SELINUXTYPE=ubuntu 
 
# sestatus 
Policy from config file: ubuntu",,77
46,"Run the following command and verify not output is produced: 
# ps -eZ | egrep ""initrc"" | egrep -vw ""tr|ps|egrep|bash|awk"" | tr ':' ' ' | 
awk '{ print $NF }'",,78
46,"Run the following command and verify that no linux line the apparmor=0 parameter set: 
# grep ""^\s*linux"" /boot/grub/grub.cfg",,80
48,"Run the following command and verify that profiles are loaded, no profiles are in complain 
mode, and no processes are unconfined: 
# apparmor_status 
apparmor module is loaded. 
17 profiles are loaded. 
17 profiles are in enforce mode. 
  /bin/ping 
  /sbin/klogd 
  /sbin/syslog-ng 
  /sbin/syslogd 
  /usr/lib/PolicyKit/polkit-explicit-grant-helper 
  /usr/lib/PolicyKit/polkit-grant-helper 
  /usr/lib/PolicyKit/polkit-grant-helper-pam 
  /usr/lib/PolicyKit/polkit-read-auth-helper 
  /usr/lib/PolicyKit/polkit-resolve-exe-helper 
  /usr/lib/PolicyKit/polkit-revoke-helper 
  /usr/lib/PolicyKit/polkitd 
  /usr/sbin/avahi-daemon 
  /usr/sbin/identd 
  /usr/sbin/mdnsd 
  /usr/sbin/nscd 
  /usr/sbin/ntpd 
  /usr/sbin/traceroute 
0 profiles are in complain mode. 
1 processes have profiles defined. 
1 processes are in enforce mode : 
  /usr/sbin/nscd (3979) 
0 processes are in complain mode. 
0 processes are unconfined but have a profile defined.",,81
49,"Run the following commands and verify either SELinux or AppArmor is installed: 
# dpkg -s selinux 
# dpkg -s apparmor",,83
50,"Run the following command and verify that the contents match site policy: 
# cat /etc/motd 
 
Run the following command and verify no results are returned: 
# egrep '(\\v|\\r|\\m|\\s)' /etc/motd",,85
50,"Run the following command and verify that the contents match site policy: 
# cat /etc/issue 
 
Run the following command and verify no results are returned: 
# egrep '(\\v|\\r|\\m|\\s)' /etc/issue",,87
50,"Run the following command and verify that the contents match site policy: 
# cat /etc/issue.net 
 
Run the following command and verify no results are returned: 
# egrep '(\\v|\\r|\\m|\\s)' /etc/issue.net",,89
52,"Run the following command and verify Uid and Gid are both 0/root and Access is 644: 
# stat /etc/motd 
Access: (0644/-rw-r--r--)  Uid: (    0/    root)   Gid: (    0/    root)",,91
53,"Run the following command and verify Uid and Gid are both 0/root and Access is 644: 
# stat /etc/issue 
Access: (0644/-rw-r--r--)  Uid: (    0/    root)   Gid: (    0/    root)",,92
54,"Run the following command and verify Uid and Gid are both 0/root and Access is 644: 
# stat /etc/issue.net 
Access: (0644/-rw-r--r--)  Uid: (    0/    root)   Gid: (    0/    root)",,93
55,"If GDM is installed on the system verify that /etc/dconf/profile/gdm exists and contains 
the following: 
user-db:user 
system-db:gdm 
file-db:/usr/share/gdm/greeter-dconf-defaults 
 
Then verify the banner-message-enable and banner-message-text options are configured 
in one of the files in the /etc/dconf/db/gdm.d/ directory: 
[org/gnome/login-screen] 
banner-message-enable=true 
banner-message-text='<banner message>' 
 
This is typically configured in /etc/dconf/db/gdm.d/01-banner-message.",,94
55,"Run the following command and verify there are no updates or patches to install: 
# apt-get -s upgrade",,96
57,"Verify the chargen service is not enabled. Run the following command and verify results 
are as indicated: 
grep -R ""^chargen"" /etc/inetd.* 
 
No results should be returned 
check /etc/xinetd.conf and /etc/xinetd.d/* and verify all chargen services have 
disable = yes set.",,98
58,"Verify the daytime service is not enabled. Run the following command and verify results 
are as indicated: 
grep -R ""^daytime"" /etc/inetd.* 
 
No results should be returned 
check /etc/xinetd.conf and /etc/xinetd.d/* and verify all daytime services have 
disable = yes set.",,100
59,"Verify the discard service is not enabled. Run the following command and verify results 
are as indicated: 
grep -R ""^discard"" /etc/inetd.* 
 
No results should be returned 
check /etc/xinetd.conf and /etc/xinetd.d/* and verify all discard services have 
disable = yes set.",,101
60,"Verify the echo service is not enabled. Run the following command and verify results are as 
indicated: 
grep -R ""^echo"" /etc/inetd.* 
 
No results should be returned 
check /etc/xinetd.conf and /etc/xinetd.d/* and verify all echo services have disable = 
yes set.",,102
61,"Verify the time service is not enabled. Run the following command and verify results are as 
indicated: 
grep -R ""^time"" /etc/inetd.* 
 
No results should be returned 
check /etc/xinetd.conf and /etc/xinetd.d/* and verify all time services have disable = 
yes set.",,103
61,"Verify the rsh services are not enabled. Run the following commands and verify results are 
as indicated: 
grep -R ""^shell"" /etc/inetd.* 
grep -R ""^login"" /etc/inetd.*  
grep -R ""^exec"" /etc/inetd.*  
 
No results should be returned 
check /etc/xinetd.conf and /etc/xinetd.d/* and verify all rsh, rlogin, and rexec 
services have disable = yes set.",,104
62,"Verify the talk service is not enabled. Run the following commands and verify results are 
as indicated: 
grep -R ""^talk"" /etc/inetd.* 
grep -R ""^ntalk"" /etc/inetd.*  
 
No results should be returned 
check /etc/xinetd.conf and /etc/xinetd.d/* and verify all talk services have disable = 
yes set.",,106
63,"Verify the telnet service is not enabled. Run the following command and verify results are 
as indicated: 
grep -R ""^telnet"" /etc/inetd.* 
 
No results should be returned 
check /etc/xinetd.conf and /etc/xinetd.d/* and verify all telnet services have disable 
= yes set.",,107
64,"Verify the tftp service is not enabled. Run the following command and verify results are as 
indicated: 
grep -R ""^tftp"" /etc/inetd.* 
 
No results should be returned 
check /etc/xinetd.conf and /etc/xinetd.d/* and verify all tftp services have disable = 
yes set.",,109
65,"Run the following commands to verify no start conditions listed for xinetd: 
# initctl show-config xinetd 
xinetd",,110
66,"Run the following command and verify openbsd-inetd is not installed: 
dpkg -s openbsd-inetd",,111
68,"On physical systems or virtual systems where host based time synchronization is not 
available run the following commands and verify either NTP or chrony is installed: 
# dpkg -s ntp 
# dpkg -s chrony 
 
On virtual systems where host based time synchronization is available consult your 
virtualization software documentation and verify that host based synchronization is in use.",,112
69,"Run the following command and verify output matches: 
# grep ""^restrict"" /etc/ntp.conf 
restrict -4 default kod nomodify notrap nopeer noquery 
restrict -6 default kod nomodify notrap nopeer noquery 
 
The -4 in the first line is optional and options after default can appear in any order. 
Additional restriction lines may exist. 
Run the following command and verify remote server is configured properly: 
# grep ""^(server|pool)"" /etc/ntp.conf 
server <remote-server> 
 
Multiple servers may be configured. 
Verify that ntp is configured to run as the ntp user by running the following command: 
# grep ""RUNASUSER=ntp"" /etc/init.d/ntp 
RUNASUSER=ntp",,114
70,"Run the following command and verify remote server is configured properly: 
# grep ""^(server|pool)"" /etc/chrony/chrony.conf 
server <remote-server> 
 
Multiple servers may be configured.",,116
71,"Run the following command and verify X Windows System is not installed: 
dpkg -l xserver-xorg*",,117
72,"Run the following commands to verify no start conditions listed for avahi-daemon: 
# initctl show-config avahi-daemon 
avahi-daemon",,118
73,"Run the following commands to verify no start conditions listed for cups: 
# initctl show-config cups 
cups",,119
74,"Ensure no start conditions listed for isc-dhcp-serveror isc-dhcp-server6: 
# initctl show-config isc-dhcp-server 
isc-dhcp-server 
# initctl show-config isc-dhcp-server6 
isc-dhcp-server6",,121
75,"Run the following to ensure no start links for slapd exist in /etc/rc*.d: 
# ls /etc/rc*.d/S*slapd 
 
No results should be returned.",,122
76,"Run the following to ensure no start links for nfs-kernel-server exist in /etc/rc*.d: 
# ls /etc/rc*.d/S*nfs-kernel-server 
 
No results should be returned. 
Run the following commands to verify no start conditions listed for rpcbind: 
# initctl show-config rpcbind 
rpcbind",,123
77,"Run the following to ensure no start links for bind9 exist in /etc/rc*.d: 
# ls /etc/rc*.d/S*bind9 
 
No results should be returned.",,125
78,"Run the following commands to verify no start conditions listed for vsftpd: 
# initctl show-config vsftpd 
vsftpd",,126
79,"Run the following to ensure no start links for apache2 exist in /etc/rc*.d: 
# ls /etc/rc*.d/S*apache2 
 
No results should be returned.",,127
80,"Run the following commands to verify no start conditions listed for dovecot: 
# initctl show-config dovecot 
dovecot",,128
81,"Ensure no start conditions listed for smbd: 
# initctl show-config smbd 
smbd",,129
82,"Ensure no start conditions listed for squid3: 
# initctl show-config squid3 
squid3",,130
83,"Run the following to ensure no start links for snmpd exist in /etc/rc*.d: 
# ls /etc/rc*.d/S*snmpd 
 
No results should be returned.",,131
83,"Run the following command and verify that the MTA is not listening on any non-loopback 
address ( 127.0.0.1 or ::1 ): 
# netstat -an | grep LIST | grep "":25[[:space:]]"" 
tcp 0 0 127.0.0.1:25 0.0.0.0:* LISTEN",,133
84,"Run the following command to verify that the rsync service is not enabled: 
# grep ^RSYNC_ENABLE /etc/default/rsync 
RSYNC_ENABLE=false",,135
85,"Run the following commands to verify no start conditions listed for ypserv: 
# initctl show-config ypserv 
ypserv",,136
87,"Run the following command and verify nis is not installed: 
dpkg -s nis",,137
88,"Run the following commands and verify rsh is not installed: 
dpkg -s rsh-client 
dpkg -s rsh-redone-client",,139
89,"Run the following command and verify talk is not installed: 
dpkg -s talk",,141
90,"Run the following command and verify telnet is not installed: 
# dpkg -s telnet",,142
91,"Run the following command and verify ldap-utils is not installed: 
# dpkg -s ldap-utils",,144
93,"Run the following command and verify output matches: 
# sysctl net.ipv4.ip_forward 
net.ipv4.ip_forward = 0 
# grep ""net\.ipv4\.ip_forward"" /etc/sysctl.conf /etc/sysctl.d/* 
net.ipv4.ip_forward = 0",,146
94,"Run the following commands and verify output matches: 
# sysctl net.ipv4.conf.all.send_redirects 
net.ipv4.conf.all.send_redirects = 0 
# sysctl net.ipv4.conf.default.send_redirects 
net.ipv4.conf.default.send_redirects = 0 
# grep ""net\.ipv4\.conf\.all\.send_redirects"" /etc/sysctl.conf 
/etc/sysctl.d/* 
net.ipv4.conf.all.send_redirects = 0 
# grep ""net\.ipv4\.conf\.default\.send_redirects"" /etc/sysctl.conf 
/etc/sysctl.d/* 
net.ipv4.conf.default.send_redirects= 0",,148
96,"Run the following commands and verify output matches: 
# sysctl net.ipv4.conf.all.accept_source_route 
net.ipv4.conf.all.accept_source_route = 0 
# sysctl net.ipv4.conf.default.accept_source_route 
net.ipv4.conf.default.accept_source_route = 0 
# grep ""net\.ipv4\.conf\.all\.accept_source_route"" /etc/sysctl.conf",,150
97,"Run the following commands and verify output matches: 
# sysctl net.ipv4.conf.all.accept_redirects 
net.ipv4.conf.all.accept_redirects = 0 
# sysctl net.ipv4.conf.default.accept_redirects 
net.ipv4.conf.default.accept_redirects = 0 
# grep ""net\.ipv4\.conf\.all\.accept_redirects"" /etc/sysctl.conf 
/etc/sysctl.d/* 
net.ipv4.conf.all.accept_redirects= 0 
# grep ""net\.ipv4\.conf\.default\.accept_redirects"" /etc/sysctl.conf 
/etc/sysctl.d/* 
net.ipv4.conf.default.accept_redirects= 0",,152
98,"Run the following commands and verify output matches: 
# sysctl net.ipv4.conf.all.secure_redirects 
net.ipv4.conf.all.secure_redirects = 0 
# sysctl net.ipv4.conf.default.secure_redirects 
net.ipv4.conf.default.secure_redirects = 0 
# grep ""net\.ipv4\.conf\.all\.secure_redirects"" /etc/sysctl.conf 
/etc/sysctl.d/* 
net.ipv4.conf.all.secure_redirects= 0 
# grep ""net\.ipv4\.conf\.default\.secure_redirects"" /etc/sysctl.conf 
/etc/sysctl.d/* 
net.ipv4.conf.default.secure_redirects= 0",,154
99,"Run the following commands and verify output matches: 
# sysctl net.ipv4.conf.all.log_martians 
net.ipv4.conf.all.log_martians = 1 
# sysctl net.ipv4.conf.default.log_martians 
net.ipv4.conf.default.log_martians = 1 
# grep ""net\.ipv4\.conf\.all\.log_martians"" /etc/sysctl.conf /etc/sysctl.d/* 
net.ipv4.conf.all.log_martians = 1 
# grep ""net\.ipv4\.conf\.default\.log_martians"" /etc/sysctl.conf 
/etc/sysctl.d/* 
net.ipv4.conf.default.log_martians = 1",,156
100,"Run the following commands and verify output matches: 
# sysctl net.ipv4.icmp_echo_ignore_broadcasts 
net.ipv4.icmp_echo_ignore_broadcasts = 1 
# grep ""net\.ipv4\.icmp_echo_ignore_broadcasts"" /etc/sysctl.conf 
/etc/sysctl.d/* 
net.ipv4.icmp_echo_ignore_broadcasts = 1",,158
101,"Run the following commands and verify output matches: 
# sysctl net.ipv4.icmp_ignore_bogus_error_responses 
net.ipv4.icmp_ignore_bogus_error_responses = 1 
# grep ""net\.ipv4\.icmp_ignore_bogus_error_responses"" /etc/sysctl.conf 
/etc/sysctl.d/* 
net.ipv4.icmp_ignore_bogus_error_responses = 1",,160
102,"Run the following commands and verify output matches: 
# sysctl net.ipv4.conf.all.rp_filter 
net.ipv4.conf.all.rp_filter = 1 
# sysctl net.ipv4.conf.default.rp_filter 
net.ipv4.conf.default.rp_filter = 1 
# grep ""net\.ipv4\.conf\.all\.rp_filter"" /etc/sysctl.conf /etc/sysctl.d/* 
net.ipv4.conf.all.rp_filter = 1 
# grep ""net\.ipv4\.conf\.default\.rp_filter"" /etc/sysctl.conf /etc/sysctl.d/* 
net.ipv4.conf.default.rp_filter = 1",,162
103,"Run the following commands and verify output matches: 
# sysctl net.ipv4.tcp_syncookies 
net.ipv4.tcp_syncookies = 1 
# grep ""net\.ipv4\.tcp_syncookies"" /etc/sysctl.conf /etc/sysctl.d/* 
net.ipv4.tcp_syncookies = 1",,164
105,"Run the following commands and verify output matches: 
# sysctl net.ipv6.conf.all.accept_ra 
net.ipv6.conf.all.accept_ra = 0 
# sysctl net.ipv6.conf.default.accept_ra 
net.ipv6.conf.default.accept_ra = 0 
# grep ""net\.ipv6\.conf\.all\.accept_ra"" /etc/sysctl.conf /etc/sysctl.d/* 
net.ipv6.conf.all.accept_ra = 0 
# grep ""net\.ipv6\.conf\.default\.accept_ra"" /etc/sysctl.conf /etc/sysctl.d/* 
net.ipv6.conf.default.accept_ra = 0",,166
106,"Run the following commands and verify output matches: 
# sysctl net.ipv6.conf.all.accept_redirects 
net.ipv6.conf.all.accept_redirect = 0 
# sysctl net.ipv6.conf.default.accept_redirects 
net.ipv6.conf.default.accept_redirect = 0 
# grep ""net\.ipv6\.conf\.all\.accept_redirect"" /etc/sysctl.conf 
/etc/sysctl.d/* 
net.ipv6.conf.all.accept_redirect = 0 
# grep ""net\.ipv6\.conf\.default\.accept_redirect"" /etc/sysctl.conf 
/etc/sysctl.d/* 
net.ipv6.conf.default.accept_redirect = 0",,168
107,"Run the following command and verify that each linux line has the 'ipv6.disable=1' 
parameter set: 
# grep ""^\s*linux"" /boot/grub/grub.cfg",,170
109,"Run the following command and verify TCP Wrappers is installed: 
dpkg -s tcpd",,171
110,"Run the following command and verify the contents of the /etc/hosts.allow file: 
# cat /etc/hosts.allow",,173
111,"Run the following command and verify the contents of the /etc/hosts.denyfile: 
# cat /etc/hosts.deny 
ALL: ALL",,174
112,"Run the following command and verify Uid and Gid are both 0/root and Access is 644: 
# stat /etc/hosts.allow 
Access: (0644/-rw-r--r--)  Uid: (    0/    root)   Gid: (    0/    root)",,175
113,"Run the following command and verify Uid and Gid are both 0/root and Access is 644 : 
# stat /etc/hosts.deny 
Access: (0644/-rw-r--r--)  Uid: (    0/    root)   Gid: (    0/    root)",,176
115,"Run the following commands and verify the output is as indicated: 
# modprobe -n -v dccp 
install /bin/true 
# lsmod | grep dccp 
<No output>",,177
116,"Run the following commands and verify the output is as indicated: 
# modprobe -n -v sctp 
install /bin/true 
# lsmod | grep sctp 
<No output>",,179
117,"Run the following commands and verify the output is as indicated: 
# modprobe -n -v rds 
install /bin/true 
# lsmod | grep rds 
<No output>",,180
118,"Run the following commands and verify the output is as indicated: 
# modprobe -n -v tipc 
install /bin/true 
# lsmod | grep tipc 
<No output>",,181
120,"Run the following command and verify iptables is installed: 
# dpkg -s iptables",,183
121,"Run the following command and verify that the policy for the INPUT, OUTPUT, and FORWARD 
chains is DROP or REJECT: 
# iptables -L 
Chain INPUT (policy DROP) 
Chain FORWARD (policy DROP) 
Chain OUTPUT (policy DROP)",,184
122,"Run the following commands and verify output includes the listed rules in order (packet 
and byte counts may differ): 
# iptables -L INPUT -v -n 
Chain INPUT (policy DROP 0 packets, 0 bytes) 
pkts bytes target     prot opt in     out     source               
destination 
   0     0 ACCEPT     all  --  lo     *       0.0.0.0/0            0.0.0.0/0 
   0     0 DROP       all  --  *      *       127.0.0.0/8          0.0.0.0/0 
 
# iptables -L OUTPUT -v -n 
Chain OUTPUT (policy DROP 0 packets, 0 bytes) 
pkts bytes target     prot opt in     out     source               
destination 
   0     0 ACCEPT     all  --  *      lo      0.0.0.0/0            0.0.0.0/0",,186
122,"Run the following command and verify all rules for new outbound, and established 
connections match site policy: 
# iptables -L -v -n",,188
123,"Run the following command to determine open ports: 
# netstat -ln 
Active Internet connections (only servers) 
Proto Recv-Q Send-Q Local Address           Foreign Address         State 
tcp        0      0 0.0.0.0:22              0.0.0.0:*               LISTEN 
 
Run the following command to determine firewall rules: 
# iptables -L INPUT -v -n 
Chain INPUT (policy DROP 0 packets, 0 bytes) 
 pkts bytes target     prot opt in     out     source               
destination 
    0     0 ACCEPT     all  --  lo     *       0.0.0.0/0            0.0.0.0/0 
    0     0 DROP       all  --  *      *       127.0.0.0/8          0.0.0.0/0 
    0     0 ACCEPT     tcp  --  *      *       0.0.0.0/0            0.0.0.0/0            
tcp dpt:22 state NEW 
 
Verify all open ports listening on non-localhost addresses have at least one firewall rule. 
The last line identified by the ""tcp dpt:22 state NEW"" identifies it as a firewall rule for new 
connections on tcp port 22.",,190
124,"Run the following command to determine wireless interfaces on the system: 
# iwconfig 
 
Run the following command and verify wireless interfaces are active: 
# ip link show up",,192
126,"Run the following command and ensure output is in compliance with site policy: 
# grep max_log_file /etc/audit/auditd.conf 
max_log_file = <MB>",,195
127,"Run the following commands and verify output matches: 
# grep space_left_action /etc/audit/auditd.conf 
space_left_action = email 
# grep action_mail_acct /etc/audit/auditd.conf 
action_mail_acct = root 
# grep admin_space_left_action /etc/audit/auditd.conf 
admin_space_left_action = halt",,197
128,"Run the following command and verify output matches: 
# grep max_log_file_action /etc/audit/auditd.conf 
max_log_file_action = keep_logs",,198
129,"Run the following to ensure proper start links for auditd exist in /etc/rc*.d: 
# ls /etc/rc*.d/S*auditd 
/etc/rc2.d/S37auditd  /etc/rc3.d/S37auditd  /etc/rc4.d/S37auditd  
/etc/rc5.d/S37auditd 
 
Start links should exist for run levels 2, 3, 4, and 5.",,199
129,"Run the following command and verify that each linux line has the audit=1 parameter set: 
# grep ""^\s*linux"" /boot/grub/grub.cfg",,200
129,"On a 32 bit system run the following commands: 
# grep time-change /etc/audit/audit.rules 
# auditctl -l | grep time-change 
 
Verify output of both matches: 
-a always,exit -F arch=b32 -S adjtimex -S settimeofday -S stime -k time-
change 
-a always,exit -F arch=b32 -S clock_settime -k time-change 
-w /etc/localtime -p wa -k time-change 
 
On a 64 bit system run the following commands: 
# grep time-change /etc/audit/audit.rules 
# auditctl -l | grep time-change 
 
Verify output of both matches:",,202
129,"Run the following commands: 
# grep identity /etc/audit/audit.rules 
# auditctl -l | grep identity 
 
Verify output of both matches: 
-w /etc/group -p wa -k identity 
-w /etc/passwd -p wa -k identity 
-w /etc/gshadow -p wa -k identity 
-w /etc/shadow -p wa -k identity 
-w /etc/security/opasswd -p wa -k identity",,204
129,"On a 32 bit system run the following commands: 
# grep system-locale /etc/audit/audit.rules 
# auditctl -l | grep system-locale 
 
Verify output of both matches:",,206
129,"On systems using SELinux run the following commands: 
# grep MAC-policy /etc/audit/audit.rules 
# auditctl -l | grep MAC-policy 
 
Verify output of both matches: 
-w /etc/selinux/ -p wa -k MAC-policy 
-w /usr/share/selinux/ -p wa -k MAC-policy 
 
On systems using AppArmor run the following commands: 
# grep MAC-policy /etc/audit/audit.rules 
# auditctl -l | grep MAC-policy 
 
Verify output of both matches: 
-w /etc/apparmor/ -p wa -k MAC-policy 
-w /etc/apparmor.d/ -p wa -k MAC-policy",,209
131,"Run the following commands: 
# grep logins /etc/audit/audit.rules 
# auditctl -l | grep logins 
 
Verify output of both includes: 
-w /var/log/faillog -p wa -k logins 
-w /var/log/lastlog -p wa -k logins 
-w /var/log/tallylog -p wa -k logins",,211
132,"Run the following commands: 
# grep session /etc/audit/audit.rules 
# auditctl -l | grep session 
 
Verify output of both matches: 
-w /var/run/utmp -p wa -k session 
 
Run the following commands: 
# grep logins /etc/audit/audit.rules 
# auditctl -l | grep logins 
 
Verify output of both matches: 
-w /var/log/wtmp -p wa -k logins 
-w /var/log/btmp -p wa -k logins",,213
132,"On a 32 bit system run the following commands: 
# grep perm_mod /etc/audit/audit.rules 
# auditctl -l | grep perm_mod 
 
Verify output of both matches: 
-a always,exit -F arch=b32 -S chmod -S fchmod -S fchmodat -F auid>=1000 -F 
auid!=4294967295 -k perm_mod 
-a always,exit -F arch=b32 -S chown -S fchown -S fchownat -S lchown -F 
auid>=1000 -F auid!=4294967295 -k perm_mod 
-a always,exit -F arch=b32 -S setxattr -S lsetxattr -S fsetxattr -S 
removexattr -S lremovexattr -S fremovexattr -F auid>=1000 -F auid!=4294967295 
-k perm_mod 
 
On a 64 bit system run the following commands:",,215
132,"On a 32 bit system run the following commands: 
# grep access /etc/audit/audit.rules 
# auditctl -l | grep access 
 
Verify output of both matches: 
-a always,exit -F arch=b32 -S creat -S open -S openat -S truncate -S 
ftruncate -F exit=-EACCES -F auid>=1000 -F auid!=4294967295 -k access 
-a always,exit -F arch=b32 -S creat -S open -S openat -S truncate -S 
ftruncate -F exit=-EPERM -F auid>=1000 -F auid!=4294967295 -k access 
 
On a 64 bit system run the following commands: 
# grep access /etc/audit/audit.rules 
# auditctl -l | grep access 
 
Verify output of both matches:",,218
132,"Run the following command replacing <partition> with a list of partitions where 
programs can be executed from on your system: 
# find <partition> -xdev \( -perm -4000 -o -perm -2000 \) -type f | awk 
'{print \ 
""-a always,exit -F path="" $1 "" -F perm=x -F auid>=1000 -F auid!=4294967295 \ 
-k privileged"" }' 
 
Verify all resulting lines are in the /etc/audit/audit.rules file and the output of auditctl 
-l.",,220
