chapter_id,remediation,page_number
20,"Edit the /etc/fstabfile and add nosuidto the fourth field (mounting options) for the 
/run/shm partition. See the fstab(5)manual page for more information. 
Run the following command to remount /run/shm: 
# mount -o remount,nosuid /run/shm",45
21,"Edit the /etc/fstabfile and add noexecto the fourth field (mounting options) for the 
/run/shm partition. See the fstab(5)manual page for more information. 
Run the following command to remount /run/shm: 
# mount -o remount,noexec /run/shm",46
21,"Edit the /etc/fstabfile and add nodev to the fourth field (mounting options) of all 
removable media partitions. Look for entries that have mount points that contain words 
such as floppy or cdrom. See the fstab(5)manual page for more information.",47
21,"Edit the /etc/fstabfile and add nosuid to the fourth field (mounting options) of all 
removable media partitions. Look for entries that have mount points that contain words 
such as floppy or cdrom. See the fstab(5)manual page for more information.",48
21,"Edit the /etc/fstabfile and add noexec to the fourth field (mounting options) of all 
removable media partitions. Look for entries that have mount points that contain words 
such as floppy or cdrom. See the fstab(5)manual page for more information. 
CIS Controls: 
8 Malware Defenses 
Malware Defenses",49
25,"Run the following command to set the sticky bit on all world writable directories: 
# df --local -P | awk {'if (NR!=1) print $6'} | xargs -I '{}' find '{}' -xdev 
-type d -perm -0002 2>/dev/null | xargs chmod a+t",50
26,"Remove or comment out start lines in /etc/init/autofs.conf: 
#start on runlevel [2345]",51
28,"Configure your package manager repositories according to site policy. 
CIS Controls:",53
29,"Update your package manager GPG keys in accordance with site policy. 
CIS Controls: 
4.5 Use Automated Patch Management And Software Update Tools 
Deploy automated patch management tools and software update tools for operating system 
and software/applications on all systems for which such tools are available and safe. 
Patches should be applied to all systems, even systems that are properly air gapped.",55
31,"Run the following command to install AIDE: 
# apt-get install aide aide-common 
 
Configure AIDE as appropriate for your environment. Consult the AIDE documentation for 
options. 
Initialize AIDE:",56
32,"Run the following command: 
# crontab -u root -e 
 
Add the following line to the crontab: 
0 5 * * * /usr/bin/aide --config /etc/aide/aide.conf --check",58
34,"Run the following commands to set permissions on your grub configuration: 
# chown root:root /boot/grub/grub.cfg 
# chmod og-rwx /boot/grub/grub.cfg",60
35,"Create an encrypted password with grub-mkpasswd-pbkdf2: 
# grub-mkpasswd-pbkdf2 
Enter password: <password> 
Reenter password: <password> 
Your PBKDF2 is <encrypted-password> 
 
Add the following into /etc/grub.d/00_header or a custom /etc/grub.d configuration file: 
cat <<EOF 
set superusers=""<username>"" 
password_pbkdf2 <username> <encrypted-password> 
EOF 
 
Run the following command to update the grub2 configuration:",62
36,"Run the following command and follow the prompts to set a password for the rootuser: 
# passwd root 
 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are 
required. Implement focused auditing on the use of administrative privileged functions and 
monitor for anomalous behavior.",64
38,"Add the following line to /etc/security/limits.conf or a /etc/security/limits.d/* 
file: 
* hard core 0 
 
Set the following parameter in /etc/sysctl.conf or a /etc/sysctl.d/* file:",65
39,"On 32 bit systems install a kernel with PAE support, no installation is required on 64 bit 
systems: 
If necessary configure your bootloader to load the new kernel and reboot the system. 
You may need to enable NX or XD support in your bios.",67
39,"Set the following parameter in /etc/sysctl.conf or a /etc/sysctl.d/* file: 
kernel.randomize_va_space = 2 
 
Run the following command to set the active kernel parameter: 
# sysctl -w kernel.randomize_va_space=2 
 
CIS Controls: 
8.4 Enable Anti-exploitation Features (i.e. DEP, ASLR, EMET) 
Enable anti-exploitation features such as Data Execution Prevention (DEP), Address Space 
Layout Randomization (ASLR), virtualization/containerization, etc. For increased",69
41,"Run the following command to restore binaries to normal: 
# prelink -ua 
 
Run the following command to uninstall prelink: 
# apt-get remove prelink 
 
CIS Controls: 
3.5 Use File Integrity Tools For Critical System Files 
Use file integrity checking tools to ensure that critical system files (including sensitive 
system and application executables, libraries, and configurations) have not been altered. 
The reporting system should: have the ability to account for routine and expected changes; 
highlight and alert on unusual or unexpected alterations; show the history of configuration",71
42,"Edit /etc/default/grub and remove all instances of selinux=0 and enforcing=0 from all 
CMDLINE_LINUX parameters: 
GRUB_CMDLINE_LINUX_DEFAULT=""quiet"" 
GRUB_CMDLINE_LINUX="""" 
 
Run the following command to update the grub2 configuration:",74
44,"Edit the /etc/selinux/configfile to set the SELINUX parameter: 
SELINUX=enforcing 
 
CIS Controls: 
14.4 Protect Information With Access Control Lists 
All information stored on systems shall be protected with file system, network share, 
claims, application, or database specific access control lists. These controls will enforce the 
principle that only authorized individuals should have access to the information based on 
their need to access the information as a part of their responsibilities.",76
45,"Edit the /etc/selinux/configfile to set the SELINUXTYPE parameter: 
SELINUXTYPE=ubuntu",77
46,"Investigate any unconfined daemons found during the audit action. They may need to have 
an existing security context assigned to them or a policy built for them.",78
46,"Edit /etc/default/grub and remove all instances of apparmor=0 from all CMDLINE_LINUX 
parameters: 
GRUB_CMDLINE_LINUX_DEFAULT=""quiet"" 
GRUB_CMDLINE_LINUX="""" 
 
Run the following command to update the grub2 configuration: 
# update-grub",80
48,"Run the following command to set all profiles to enforce mode: 
# aa-enforce /etc/apparmor.d/*  
 
Any unconfined processes may need to have a profile created or activated for them and 
then be restarted. 
CIS Controls: 
14.4 Protect Information With Access Control Lists 
All information stored on systems shall be protected with file system, network share, 
claims, application, or database specific access control lists. These controls will enforce the 
principle that only authorized individuals should have access to the information based on 
their need to access the information as a part of their responsibilities.",82
49,"Run one of the following commands to install SELinux or apparmor: 
# apt-get install selinux 
# apt-get install apparmor 
 
CIS Controls: 
14.4 Protect Information With Access Control Lists 
All information stored on systems shall be protected with file system, network share, 
claims, application, or database specific access control lists. These controls will enforce the 
principle that only authorized individuals should have access to the information based on 
their need to access the information as a part of their responsibilities. 
1.7 Warning Banners 
Presenting a warning message prior to the normal user login may assist in the prosecution 
of trespassers on the computer system. Changing some of these login banners also has the",83
50,"Edit the /etc/motd file with the appropriate contents according to your site policy, remove 
any instances of \m, \r, \s, or \v.",86
50,"Edit the /etc/issue file with the appropriate contents according to your site policy, 
remove any instances of \m , \r , \s , or \v :",87
52,"Run the following commands to set permissions on /etc/motd: 
# chown root:root /etc/motd 
# chmod 644 /etc/motd 
 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are 
required. Implement focused auditing on the use of administrative privileged functions and 
monitor for anomalous behavior.",91
53,"Run the following commands to set permissions on /etc/issue: 
# chown root:root /etc/issue 
# chmod 644 /etc/issue 
 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are 
required. Implement focused auditing on the use of administrative privileged functions and 
monitor for anomalous behavior.",92
54,"Run the following commands to set permissions on /etc/issue.net: 
# chown root:root /etc/issue.net 
# chmod 644 /etc/issue.net 
 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are 
required. Implement focused auditing on the use of administrative privileged functions and 
monitor for anomalous behavior.",93
55,"Create the /etc/dconf/profile/gdm file with the following contents: 
user-db:user 
system-db:gdm 
file-db:/usr/share/gdm/greeter-dconf-defaults",94
55,Use your package manager to update all packages on the system according to site policy.,96
57,"Comment out or remove any lines starting with chargen from /etc/inetd.conf and 
/etc/inetd.d/*. 
Set disable = yes on all chargen services in /etc/xinetd.conf and /etc/xinetd.d/*.",98
58,"Comment out or remove any lines starting with daytime from /etc/inetd.conf and 
/etc/inetd.d/*. 
Set disable = yes on all daytime services in /etc/xinetd.conf and /etc/xinetd.d/*. 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",100
59,"Comment out or remove any lines starting with discard from /etc/inetd.conf and 
/etc/inetd.d/*. 
Set disable = yes on all discard services in /etc/xinetd.conf and /etc/xinetd.d/*. 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",101
60,"Comment out or remove any lines starting with echo from /etc/inetd.conf and 
/etc/inetd.d/*. 
Set disable = yes on all echo services in /etc/xinetd.conf and /etc/xinetd.d/*. 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",102
61,"Comment out or remove any lines starting with time from /etc/inetd.conf and 
/etc/inetd.d/*. 
Set disable = yes on all time services in /etc/xinetd.conf and /etc/xinetd.d/*. 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",103
61,"Comment out or remove any lines starting with shell, login, or exec from 
/etc/inetd.conf and /etc/inetd.d/*. 
Set disable = yes on all rsh, rlogin, and rexec services in /etc/xinetd.conf and 
/etc/xinetd.d/*. 
CIS Controls: 
3.4 Use Only Secure Channels For Remote System Administration 
Perform all remote administration of servers, workstation, network devices, and similar 
equipment over secure channels. Protocols such as telnet, VNC, RDP, or others that do not",104
62,"Comment out or remove any lines starting with talk or ntalk from /etc/inetd.conf and 
/etc/inetd.d/*. 
Set disable = yes on all talk services in /etc/xinetd.conf and /etc/xinetd.d/*. 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",106
63,"Comment out or remove any lines starting with telnet from /etc/inetd.conf and 
/etc/inetd.d/*. 
Set disable = yes on all telnet services in /etc/xinetd.conf and /etc/xinetd.d/*. 
CIS Controls: 
3.4 Use Only Secure Channels For Remote System Administration 
Perform all remote administration of servers, workstation, network devices, and similar 
equipment over secure channels. Protocols such as telnet, VNC, RDP, or others that do not 
actively support strong encryption should only be used if they are performed over a 
secondary encryption channel, such as SSL, TLS or IPSEC.",107
64,"Comment out or remove any lines starting with tftp from /etc/inetd.conf and 
/etc/inetd.d/*. 
Set disable = yes on all tftp services in /etc/xinetd.conf and /etc/xinetd.d/*. 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",109
65,"Remove or comment out start lines in /etc/init/xinetd.conf: 
#start on runlevel [2345] 
 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",110
66,"Run the following command to uninstall openbsd-inetd: 
apt-get remove openbsd-inetd 
 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system. 
2.2 Special Purpose Services 
This section describes services that are installed on systems that specifically need to run 
these services. If any of these services are not required, it is recommended that they be 
disabled or deleted from the system to reduce the potential attack surface.",111
68,"On physical systems or virtual systems where host based time synchronization is not 
available install NTP or chrony using one of the following commands: 
# apt-get install ntp 
# apt-get install chrony",112
70,"Add or edit server or pool lines to /etc/chrony/chrony.conf as appropriate: 
server <remote-server> 
 
CIS Controls: 
6.1 Use At Least Two Synchronized Time Sources For All Servers And Network Equipment 
Include at least two synchronized time sources from which all servers and network 
equipment retrieve time information on a regular basis so that timestamps in logs are 
consistent.",116
71,"Run the following command to remove the X Windows System packages: 
apt-get remove xserver-xorg* 
 
CIS Controls: 
2 Inventory of Authorized and Unauthorized Software 
Inventory of Authorized and Unauthorized Software",117
72,"Remove or comment out start lines in /etc/init/avahi-daemon.conf: 
#start on runlevel [2345] 
 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",118
73,"Remove or comment out start lines in /etc/init/cups.conf: 
#start on runlevel [2345]",119
74,"Remove or comment out start lines in /etc/init/isc-dhcp-server.confand 
/etc/init/isc-dhcp-server6.conf: 
#start on runlevel [2345]",121
75,"Run the following command to disable slapd: 
# update-rc.d slapd disable",122
76,"Remove or comment out start lines in /etc/init/rpcbind.conf: 
#start on start-rpcbind 
 
Run the following command to disable nfs-kernel-server: 
# update-rc.d nfs-kernel-server disable 
 
CIS Controls:",123
77,"Run the following command to disable bind9: 
# update-rc.d bind9 disable 
 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",125
78,"Remove or comment out start lines in /etc/init/vsftpd.conf: 
#start on runlevel [2345] or net-device-up IFACE!=lo",126
79,"Run the following command to disable apache2: 
# update-rc.d apache2 disable 
 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",127
80,"Remove or comment out start lines in /etc/init/dovecot.conf: 
#start on runlevel [2345]",128
81,"Remove or comment out start lines in /etc/init/smbd.conf: 
#start on (local-filesystems and net-device-up) 
 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",129
82,"Remove or comment out start lines in /etc/init/squid3.conf: 
#start on runlevel [2345] 
 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",130
83,"Run the following command to disable snmpd: 
# update-rc.d snmpd disable",131
83,"Edit /etc/postfix/main.cf and add the following line to the RECEIVING MAIL section. If 
the line already exists, change it to look like the line below: 
inet_interfaces = loopback-only 
 
Restart postfix: 
# service postfix restart",133
84,"Edit the /etc/default/rsync file and set RSYNC_ENABLE to false: 
RSYNC_ENABLE=false 
 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",135
85,"Remove or comment out start lines in /etc/init/ypserv.conf: 
#start on (started portmap ON_BOOT= 
#          or (started portmap ON_BOOT=y 
#              and ((filesystem and static-network-up) or failsafe-boot))) 
 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",136
87,"Run the following command to uninstall nis: 
apt-get remove nis",137
88,"Run the following command to uninstall rsh: 
apt-get remove rsh-client rsh-redone-client",139
89,"Run the following command to uninstall talk: 
apt-get remove talk",141
90,"Run the following command to uninstall telnet: 
# apt-get remove telnet",142
91,"Uninstall ldap-utils using the appropriate package manager or manual installation: 
# apt-get remove ldap-utils",144
93,"Set the following parameter in /etc/sysctl.conf or a /etc/sysctl.d/* file: 
net.ipv4.ip_forward = 0 
 
Run the following commands to set the active kernel parameters: 
# sysctl -w net.ipv4.ip_forward=0 
# sysctl -w net.ipv4.route.flush=1",146
94,"Set the following parameters in /etc/sysctl.conf or a /etc/sysctl.d/* file: 
net.ipv4.conf.all.send_redirects = 0 
net.ipv4.conf.default.send_redirects = 0 
 
Run the following commands to set the active kernel parameters: 
# sysctl -w net.ipv4.conf.all.send_redirects=0 
# sysctl -w net.ipv4.conf.default.send_redirects=0 
# sysctl -w net.ipv4.route.flush=1",148
96,"Set the following parameters in /etc/sysctl.conf or a /etc/sysctl.d/* file: 
net.ipv4.conf.all.accept_source_route = 0 
net.ipv4.conf.default.accept_source_route = 0 
 
Run the following commands to set the active kernel parameters: 
# sysctl -w net.ipv4.conf.all.accept_source_route=0 
# sysctl -w net.ipv4.conf.default.accept_source_route=0 
# sysctl -w net.ipv4.route.flush=1 
 
CIS Controls: 
3 Secure Configurations for Hardware and Software on Mobile Devices, Laptops, 
Workstations, and Servers 
Secure Configurations for Hardware and Software on Mobile Devices, Laptops, 
Workstations, and Servers 
11 Secure Configurations for Network Devices such as Firewalls, Routers and switches 
Secure Configurations for Network Devices such as Firewalls, Routers and switches",151
97,"Set the following parameters in /etc/sysctl.conf or a /etc/sysctl.d/* file: 
net.ipv4.conf.all.accept_redirects = 0 
net.ipv4.conf.default.accept_redirects = 0 
 
Run the following commands to set the active kernel parameters:",152
98,"Set the following parameters in /etc/sysctl.conf or a /etc/sysctl.d/* file: 
net.ipv4.conf.all.secure_redirects = 0 
net.ipv4.conf.default.secure_redirects = 0 
 
Run the following commands to set the active kernel parameters: 
# sysctl -w net.ipv4.conf.all.secure_redirects=0 
# sysctl -w net.ipv4.conf.default.secure_redirects=0 
# sysctl -w net.ipv4.route.flush=1",154
99,"Set the following parameters in /etc/sysctl.conf or a /etc/sysctl.d/* file: 
net.ipv4.conf.all.log_martians = 1 
net.ipv4.conf.default.log_martians = 1 
 
Run the following commands to set the active kernel parameters: 
# sysctl -w net.ipv4.conf.all.log_martians=1 
# sysctl -w net.ipv4.conf.default.log_martians=1 
# sysctl -w net.ipv4.route.flush=1",156
100,"Set the following parameter in /etc/sysctl.conf or a /etc/sysctl.d/* file: 
net.ipv4.icmp_echo_ignore_broadcasts = 1 
 
Run the following commands to set the active kernel parameters: 
# sysctl -w net.ipv4.icmp_echo_ignore_broadcasts=1 
# sysctl -w net.ipv4.route.flush=1",158
101,"Set the following parameter in /etc/sysctl.conf or a /etc/sysctl.d/* file: 
net.ipv4.icmp_ignore_bogus_error_responses = 1 
 
Run the following commands to set the active kernel parameters: 
# sysctl -w net.ipv4.icmp_ignore_bogus_error_responses=1 
# sysctl -w net.ipv4.route.flush=1 
 
CIS Controls: 
3 Secure Configurations for Hardware and Software on Mobile Devices, Laptops, 
Workstations, and Servers",160
102,"Set the following parameters in /etc/sysctl.conf or a /etc/sysctl.d/* file: 
net.ipv4.conf.all.rp_filter = 1 
net.ipv4.conf.default.rp_filter = 1 
 
Run the following commands to set the active kernel parameters:",162
103,"Set the following parameter in /etc/sysctl.conf or a /etc/sysctl.d/* file: 
net.ipv4.tcp_syncookies = 1 
 
Run the following commands to set the active kernel parameters:",164
105,"Set the following parameters in /etc/sysctl.conf or a /etc/sysctl.d/* file: 
net.ipv6.conf.all.accept_ra = 0 
net.ipv6.conf.default.accept_ra = 0 
 
Run the following commands to set the active kernel parameters:",166
106,"Set the following parameters in /etc/sysctl.conf or a /etc/sysctl.d/* file: 
net.ipv6.conf.all.accept_redirects = 0 
net.ipv6.conf.default.accept_redirects = 0 
 
Run the following commands to set the active kernel parameters: 
# sysctl -w net.ipv6.conf.all.accept_redirects=0 
# sysctl -w net.ipv6.conf.default.accept_redirects=0 
# sysctl -w net.ipv6.route.flush=1",168
107,"Edit /etc/default/grub and add 'ipv6.disable=1' to GRUB_CMDLINE_LINUX: 
GRUB_CMDLINE_LINUX=""ipv6.disable=1"" 
 
Run the following command to update the grub2 configuration: 
# update-grub 
 
CIS Controls: 
3 Secure Configurations for Hardware and Software on Mobile Devices, Laptops, 
Workstations, and Servers 
Secure Configurations for Hardware and Software on Mobile Devices, Laptops, 
Workstations, and Servers 
11 Secure Configurations for Network Devices such as Firewalls, Routers and switches 
Secure Configurations for Network Devices such as Firewalls, Routers and switches",170
109,"Run the following command to install TCP Wrappers: 
apt-get install tcpd",171
110,"Run the following command to create /etc/hosts.allow: 
# echo ""ALL: <net>/<mask>, <net>/<mask>, ..."" >/etc/hosts.allow 
 
where each <net>/<mask> combination (for example, ""192.168.1.0/255.255.255.0"") 
represents one network block in use by your organization that requires access to this 
system.",173
111,"Run the following command to create /etc/hosts.deny: 
# echo ""ALL: ALL"" >> /etc/hosts.deny",174
112,"Run the following commands to set permissions on /etc/hosts.allow: 
# chown root:root /etc/hosts.allow 
# chmod 644 /etc/hosts.allow 
 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are 
required. Implement focused auditing on the use of administrative privileged functions and 
monitor for anomalous behavior.",175
113,"Run the following commands to set permissions on /etc/hosts.deny : 
# chown root:root /etc/hosts.deny 
# chmod 644 /etc/hosts.deny 
 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are 
required. Implement focused auditing on the use of administrative privileged functions and 
monitor for anomalous behavior.",176
115,"Edit or create the file /etc/modprobe.d/CIS.confand add the following line: 
install dccp /bin/true 
 
CIS Controls:",177
116,"Edit or create the file /etc/modprobe.d/CIS.confand add the following line: 
install sctp /bin/true 
 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",179
117,"Edit or create the file /etc/modprobe.d/CIS.confand add the following line: 
install rds /bin/true 
 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",180
118,"Edit or create the file /etc/modprobe.d/CIS.confand add the following line: 
install tipc /bin/true 
 
CIS Controls: 
9.1 Limit Open Ports, Protocols, and Services 
Ensure that only ports, protocols, and services with validated business needs are running 
on each system.",181
120,"Run the following command to install iptables: 
# apt-get install iptables 
 
CIS Controls: 
9.2 Leverage Host-based Firewalls 
Apply host-based firewalls or port filtering tools on end systems, with a default-deny rule 
that drops all traffic except those services and ports that are explicitly allowed.",183
121,"Run the following commands to implement a default DROP policy: 
# iptables -P INPUT DROP 
# iptables -P OUTPUT DROP 
# iptables -P FORWARD DROP",184
122,"Run the following commands to implement the loopback rules: 
# iptables -A INPUT -i lo -j ACCEPT 
# iptables -A OUTPUT -o lo -j ACCEPT 
# iptables -A INPUT -s 127.0.0.0/8 -j DROP",186
122,"Configure iptables in accordance with site policy. The following commands will implement 
a policy to allow all outbound connections and all established connections: 
# iptables -A OUTPUT -p tcp -m state --state NEW,ESTABLISHED -j ACCEPT 
# iptables -A OUTPUT -p udp -m state --state NEW,ESTABLISHED -j ACCEPT 
# iptables -A OUTPUT -p icmp -m state --state NEW,ESTABLISHED -j ACCEPT 
# iptables -A INPUT -p tcp -m state --state ESTABLISHED -j ACCEPT 
# iptables -A INPUT -p udp -m state --state ESTABLISHED -j ACCEPT 
# iptables -A INPUT -p icmp -m state --state ESTABLISHED -j ACCEPT",188
123,"For each port identified in the audit which does not have a firewall rule establish a proper 
rule for accepting inbound connections:",190
124,"Run the following command to disable any wireless interfaces: 
# ip link set <interface> down 
 
Disable any wireless interfaces in your network configuration.",192
126,"Set the following parameter in /etc/audit/auditd.conf in accordance with site policy: 
max_log_file = <MB>",195
127,"Set the following parameters in /etc/audit/auditd.conf: 
space_left_action = email 
action_mail_acct = root 
admin_space_left_action = halt 
 
CIS Controls: 
6.3 Ensure Audit Logging Systems Are Not Subject To Loss (i.e. rotation/archive) 
Ensure that all systems that store logs have adequate storage space for the logs generated 
on a regular basis, so that log files will not fill up between log rotation intervals. The logs 
must be archived and digitally signed on a periodic basis.",197
128,"Set the following parameter in /etc/audit/auditd.conf: 
max_log_file_action = keep_logs 
 
CIS Controls: 
6.3 Ensure Audit Logging Systems Are Not Subject To Loss (i.e. rotation/archive) 
Ensure that all systems that store logs have adequate storage space for the logs generated 
on a regular basis, so that log files will not fill up between log rotation intervals. The logs 
must be archived and digitally signed on a periodic basis.",198
129,"Run the following command to enable auditd: 
# update-rc.d auditd enable 
 
CIS Controls: 
6.2 Ensure Audit Log Settings Support Appropriate Log Entry Formatting 
Validate audit log settings for each hardware device and the software installed on it, 
ensuring that logs include a date, timestamp, source addresses, destination addresses, and 
various other useful elements of each packet and/or transaction. Systems should record 
logs in a standardized format such as syslog entries or those outlined by the Common Event 
Expression initiative. If systems cannot generate logs in a standardized format, log 
normalization tools can be deployed to convert logs into such a format.",199
129,"Edit /etc/default/grub and add audit=1 to GRUB_CMDLINE_LINUX: 
GRUB_CMDLINE_LINUX=""audit=1"" 
 
Run the following command to update the grub2 configuration: 
# update-grub",200
129,"For 32 bit systems add the following lines to the /etc/audit/audit.rules file: 
-a always,exit -F arch=b32 -S adjtimex -S settimeofday -S stime -k time-
change 
-a always,exit -F arch=b32 -S clock_settime -k time-change 
-w /etc/localtime -p wa -k time-change 
 
For 64 bit systems add the following lines to the /etc/audit/audit.rules file: 
-a always,exit -F arch=b64 -S adjtimex -S settimeofday -k time-change 
-a always,exit -F arch=b32 -S adjtimex -S settimeofday -S stime -k time-
change 
-a always,exit -F arch=b64 -S clock_settime -k time-change 
-a always,exit -F arch=b32 -S clock_settime -k time-change 
-w /etc/localtime -p wa -k time-change",203
129,"Add the following lines to the /etc/audit/audit.rules file: 
-w /etc/group -p wa -k identity 
-w /etc/passwd -p wa -k identity 
-w /etc/gshadow -p wa -k identity",204
